Row Labels	Sum of Revenue	Sum of Revenue2	%Revenue change
2010			
Dec	570422.73		
2011			
Jan	568101.31	-0.004086278	-0.40862782
Feb	446084.92	-0.214779279	-21.47792794
Mar	594081.76	0.33176831	33.17683099
Apr	468374.331	-0.211599543	-21.15995431
May	677355.15	0.446183331	44.61833307
Jun	660046.05	-0.025553951	-2.555395054
Jul	598962.901	-0.092543769	-9.254376873
Aug	644051.04	0.075277015	7.527701453
Sep	950690.202	0.476110033	47.61100331
Oct	1035642.45	0.089358497	8.935849746
Nov	1156205.61	0.116413884	11.6413884
Dec	517190.44	-0.552682987	-55.26829869
Grand Total	8887208.894		
